Puntaje,Tiempo,Muertes
Nivel 1,2,0
Nivel 1,2,0
Nivel 1,2,0
Nivel 1,2,0
Nivel 1,2,0
Nivel 1,2,0
Nivel 1,2,0
Nivel 1,2,0
Nivel 1,2,0
Nivel 1,2,0
Nivel 1,2,0
Nivel 1,2,0
Nivel 1,2,0
Nivel 1,2,0
Nivel 1,2,0
Nivel 1,2,0
Nivel 1,2,0
Nivel 1,2,0
Nivel 1,2,0
Nivel 1,2,0
Nivel 1,2,0
Nivel 1,2,0
Nivel 1,2,0
Nivel 1,2,0
Nivel 1,2,0
Nivel 1,2,0
Nivel 1,2,0
Nivel 1,2,0
Nivel 1,2,0
Nivel 1,2,0
Nivel 1,2,0
Nivel 1,2,0
Nivel 1,2,0
Nivel 1,2,0
Nivel 1,3,0
Nivel 1,3,0
Nivel 1,3,0
Nivel 1,3,0
Nivel 1,3,0
Nivel 1,3,0
Nivel 1,3,0
Nivel 1,3,0
Nivel 1,3,0
Nivel 1,3,0
Nivel 1,3,0
Nivel 1,3,0
Nivel 1,3,0
Nivel 1,3,0
Nivel 1,3,0
Nivel 1,3,0
Nivel 1,3,0
Nivel 1,3,0
Nivel 1,3,0
Nivel 1,3,0
Nivel 1,3,0
Nivel 1,3,0
Nivel 1,3,0
Nivel 1,3,0
Nivel 1,3,0
Nivel 1,3,0
Nivel 1,3,0
Nivel 1,3,0
Nivel 1,3,0
Nivel 1,3,0
Nivel 1,3,0
Nivel 1,3,0
Nivel 1,3,0
Nivel 1,3,0
Nivel 1,3,0
Nivel 1,3,0
Nivel 1,3,0
Nivel 1,3,0
Nivel 1,3,0
Nivel 1,3,0
Nivel 1,3,0
Nivel 1,3,0
Nivel 1,3,0
Nivel 1,3,0
Nivel 1,3,0
Nivel 1,3,0
Nivel 1,3,0
Nivel 1,3,0
Nivel 1,3,0
Nivel 1,3,0
Nivel 1,3,0
Nivel 1,3,0
Nivel 1,3,0
Nivel 1,3,0
Nivel 1,3,0
Nivel 1,3,0
Nivel 1,3,0
Nivel 1,3,0
Nivel 1,3,0
Nivel 1,3,0
Nivel 1,4,0
Nivel 1,4,0
Nivel 1,4,0
Nivel 1,4,0
Nivel 1,4,0
Nivel 1,4,0
Nivel 1,4,0
Nivel 1,4,0
Nivel 1,4,0
Nivel 1,4,0
Nivel 1,4,0
Nivel 1,4,0
Nivel 1,4,0
Nivel 1,4,0
Nivel 1,4,0
Nivel 1,4,0
Nivel 1,4,0
Nivel 1,4,0
Nivel 1,4,0
Nivel 1,4,0
Nivel 1,4,0
Nivel 1,4,0
Nivel 1,4,0
Nivel 1,4,0
Nivel 1,4,0
Nivel 1,4,0
Nivel 1,4,0
Nivel 1,4,0
Nivel 1,4,0
Nivel 1,4,0
Nivel 1,4,0
Nivel 1,4,0
Nivel 1,4,0
Nivel 1,4,0
Nivel 1,4,0
Nivel 1,4,0
Nivel 1,4,0
Nivel 1,4,0
Nivel 1,4,0
Nivel 1,4,0
Nivel 1,4,0
Nivel 1,4,0
Nivel 1,4,0
Nivel 1,4,0
Nivel 1,4,0
Nivel 1,4,0
Nivel 1,4,0
Nivel 1,4,0
Nivel 1,4,0
Nivel 1,4,0
Nivel 1,4,0
Nivel 1,4,0
Nivel 1,4,0
Nivel 1,4,0
Nivel 1,4,0
Nivel 1,4,0
Nivel 1,4,0
Nivel 1,4,0
Nivel 1,4,0
Nivel 1,4,0
Nivel 1,5,0
Nivel 1,5,0
Nivel 1,5,0
Nivel 1,5,0
Nivel 1,5,0
Nivel 1,5,0
Nivel 1,5,0
Nivel 1,5,0
Nivel 1,5,0
Nivel 1,5,0
Nivel 1,5,0
Nivel 1,5,0
Nivel 1,5,0
Nivel 1,5,0
Nivel 1,5,0
Nivel 1,5,0
Nivel 1,5,0
Nivel 1,5,0
Nivel 1,5,0
Nivel 1,5,0
Nivel 1,5,0
Nivel 1,5,0
Nivel 1,5,0
Nivel 1,5,0
Nivel 1,5,0
Nivel 1,5,0
Nivel 1,5,0
Nivel 1,5,0
Nivel 1,5,0
Nivel 1,5,0
Nivel 1,5,0
Nivel 1,5,0
Nivel 1,5,0
Nivel 1,5,0
Nivel 1,5,0
Nivel 1,5,0
Nivel 1,5,0
Nivel 1,5,0
Nivel 1,5,0
Nivel 1,5,0
Nivel 1,5,0
Nivel 1,5,0
Nivel 1,5,0
Nivel 1,5,0
Nivel 1,5,0
Nivel 1,5,0
Nivel 1,5,0
Nivel 1,5,0
Nivel 1,5,0
Nivel 1,5,0
Nivel 1,5,0
Nivel 1,5,0
Nivel 1,5,0
Nivel 1,5,0
Nivel 1,5,0
Nivel 1,5,0
Nivel 1,5,0
Nivel 1,5,0
Nivel 1,5,0
Nivel 1,6,0
Nivel 1,6,0
Nivel 1,6,0
Nivel 1,6,0
Nivel 1,6,0
Nivel 1,6,0
Nivel 1,6,0
Nivel 1,6,0
Nivel 1,6,0
Nivel 1,6,0
Nivel 1,6,0
Nivel 1,6,0
Nivel 1,6,0
Nivel 1,6,0
Nivel 1,6,0
Nivel 1,6,0
Nivel 1,6,0
Nivel 1,6,0
Nivel 1,6,0
Nivel 1,6,0
Nivel 1,6,0
Nivel 1,6,0
Nivel 1,6,0
Nivel 1,6,0
Nivel 1,6,0
Nivel 1,6,0
Nivel 1,6,0
Nivel 1,6,0
Nivel 1,6,0
Nivel 1,6,0
Nivel 1,6,0
Nivel 1,6,0
Nivel 1,6,0
Nivel 1,6,0
Nivel 1,6,0
Nivel 1,6,0
Nivel 1,6,0
Nivel 1,6,0
Nivel 1,6,0
Nivel 1,6,0
Nivel 1,6,0
Nivel 1,6,0
Nivel 1,6,0
Nivel 1,6,0
Nivel 1,6,0
Nivel 1,6,0
Nivel 1,6,0
Nivel 1,6,0
Nivel 1,6,0
Nivel 1,6,0
Nivel 1,6,0
Nivel 1,6,0
Nivel 1,6,0
Nivel 1,6,0
Nivel 1,6,0
Nivel 1,6,0
Nivel 1,6,0
Nivel 1,6,0
Nivel 1,6,0
Nivel 1,6,0
Nivel 1,7,0
Nivel 1,7,0
Nivel 1,7,0
Nivel 1,7,0
Nivel 1,7,0
Nivel 1,7,0
Nivel 1,7,0
Nivel 1,7,0
Nivel 1,7,0
Nivel 1,7,0
Nivel 1,7,0
Nivel 1,7,0
Nivel 1,7,0
Nivel 1,7,0
Nivel 1,7,0
Nivel 1,7,0
Nivel 1,7,0
Nivel 1,7,0
Nivel 1,7,0
Nivel 1,7,0
Nivel 1,7,0
Nivel 1,7,0
Nivel 1,7,0
Nivel 1,7,0
Nivel 1,7,0
Nivel 1,7,0
Nivel 1,7,0
Nivel 1,7,0
Nivel 1,7,0
Nivel 1,7,0
Nivel 1,7,0
Nivel 1,7,0
Nivel 1,7,0
Nivel 1,7,0
Nivel 1,7,0
Nivel 1,7,0
Nivel 1,7,0
Nivel 1,7,0
Nivel 1,7,0
Nivel 1,7,0
Nivel 1,7,0
Nivel 1,7,0
Nivel 1,7,0
Nivel 1,7,0
Nivel 1,7,0
Nivel 1,7,0
Nivel 1,7,0
Nivel 1,7,0
Nivel 1,7,0
Nivel 1,7,0
Nivel 1,7,0
Nivel 1,7,0
Nivel 1,7,0
Nivel 1,7,0
Nivel 1,7,0
Nivel 1,7,0
Nivel 1,7,0
Nivel 1,7,0
Nivel 1,7,0
Nivel 1,8,0
Nivel 1,8,0
Nivel 1,8,0
Nivel 1,8,0
Nivel 1,8,0
Nivel 1,8,0
Nivel 1,8,0
Nivel 1,8,0
Nivel 1,8,0
Nivel 1,8,0
Nivel 1,8,0
Nivel 1,8,0
Nivel 1,8,0
Nivel 1,8,0
Nivel 1,8,0
Nivel 1,8,0
Nivel 1,8,0
Nivel 1,8,0
Nivel 1,8,0
Nivel 1,8,0
Nivel 1,8,0
Nivel 1,8,0
Nivel 1,8,0
Nivel 1,8,0
Nivel 1,8,0
Nivel 1,8,0
Nivel 1,8,0
Nivel 1,8,0
Nivel 1,8,0
Nivel 1,8,0
Nivel 1,8,0
Nivel 1,8,0
Nivel 1,8,0
Nivel 1,8,0
Nivel 1,8,0
Nivel 1,8,0
Nivel 1,8,0
Nivel 1,8,0
Nivel 1,8,0
Nivel 1,8,0
Nivel 1,8,0
Nivel 1,8,0
Nivel 1,8,0
Nivel 1,8,0
Nivel 1,8,0
Nivel 1,8,0
Nivel 1,8,0
Nivel 1,8,0
Nivel 1,8,0
Nivel 1,8,0
Nivel 1,8,0
Nivel 1,8,0
Nivel 1,8,0
Nivel 1,8,0
Nivel 1,8,0
Nivel 1,8,0
Nivel 1,8,0
Nivel 1,8,0
Nivel 1,8,0
Nivel 1,8,0
Nivel 1,9,0
Nivel 1,9,0
Nivel 1,9,0
Nivel 1,9,0
Nivel 1,9,0
Nivel 1,9,0
Nivel 1,9,0
Nivel 1,9,0
Nivel 1,9,0
Nivel 1,9,0
Nivel 1,9,0
Nivel 1,9,0
Nivel 1,9,0
Nivel 1,9,0
Nivel 1,9,0
Nivel 1,9,0
Nivel 1,9,0
Nivel 1,9,0
Nivel 1,9,0
Nivel 1,9,0
Nivel 1,9,0
Nivel 1,9,0
Nivel 1,9,0
Nivel 1,9,0
Nivel 1,9,0
Nivel 1,9,0
Nivel 1,9,0
Nivel 1,9,0
Nivel 1,9,0
Nivel 1,9,0
Nivel 1,9,0
Nivel 1,9,0
Nivel 1,9,0
Nivel 1,9,0
Nivel 1,9,0
Nivel 1,9,0
Nivel 1,9,0
Nivel 1,9,0
Nivel 1,9,0
Nivel 1,9,0
Nivel 1,9,0
Nivel 1,9,0
Nivel 1,9,0
Nivel 1,9,0
Nivel 1,9,0
Nivel 1,9,0
Nivel 1,9,0
Nivel 1,9,0
Nivel 1,9,0
Nivel 1,9,0
Nivel 1,9,0
Nivel 1,9,0
Nivel 1,9,0
Nivel 1,9,0
Nivel 1,9,0
Nivel 1,9,0
Nivel 1,9,0
Nivel 1,9,0
Nivel 1,9,0
Nivel 1,9,0
Nivel 1,10,0
Nivel 1,10,0
Nivel 1,10,0
Nivel 1,10,0
Nivel 1,10,0
Nivel 1,10,0
Nivel 1,10,0
Nivel 1,10,0
Nivel 1,10,0
Nivel 1,10,0
Nivel 1,10,0
Nivel 1,10,0
Nivel 1,10,0
Nivel 1,10,0
Nivel 1,10,0
Nivel 1,10,0
Nivel 1,10,0
Nivel 1,10,0
Nivel 1,10,0
Nivel 1,10,0
Nivel 1,10,0
Nivel 1,10,0
Nivel 1,10,0
Nivel 1,10,0
Nivel 1,10,0
Nivel 1,10,0
Nivel 1,10,0
Nivel 1,10,0
Nivel 1,10,0
Nivel 1,10,0
Nivel 1,10,0
Nivel 1,10,0
Nivel 1,10,0
Nivel 1,10,0
Nivel 1,10,0
Nivel 1,10,0
Nivel 1,10,0
Nivel 1,10,0
Nivel 1,10,0
Nivel 1,10,0
Nivel 1,10,0
Nivel 1,10,0
Nivel 1,10,0
Nivel 1,10,0
Nivel 1,10,0
Nivel 1,10,0
Nivel 1,10,0
Nivel 1,10,0
Nivel 1,10,0
Nivel 1,10,0
Nivel 1,10,0
Nivel 1,10,0
Nivel 1,10,0
Nivel 1,10,0
Nivel 1,10,0
Nivel 1,10,0
Nivel 1,10,0
Nivel 1,10,0
Nivel 1,10,0
Nivel 1,11,0
Nivel 1,11,0
Nivel 1,11,0
Nivel 1,11,0
Nivel 1,11,0
Nivel 1,11,0
Nivel 1,11,0
Nivel 1,11,0
Nivel 1,11,0
Nivel 1,11,0
Nivel 1,11,0
Nivel 1,11,0
Nivel 1,11,0
Nivel 1,11,0
Nivel 1,11,0
Nivel 1,11,0
Nivel 1,11,0
Nivel 1,11,0
Nivel 1,11,0
Nivel 1,11,0
Nivel 1,11,0
Nivel 1,11,0
Nivel 1,11,0
Nivel 1,11,0
Nivel 1,11,0
Nivel 1,11,0
Nivel 1,11,0
Nivel 1,11,0
Nivel 1,11,0
Nivel 1,11,0
Nivel 1,11,0
Nivel 1,11,0
Nivel 1,11,0
Nivel 1,11,0
Nivel 1,11,0
Nivel 1,11,0
Nivel 1,11,0
Nivel 1,11,0
Nivel 1,11,0
Nivel 1,11,0
Nivel 1,11,0
Nivel 1,11,0
Nivel 1,11,0
Nivel 1,11,0
Nivel 1,11,0
Nivel 1,11,0
Nivel 1,11,0
Nivel 1,11,0
Nivel 1,11,0
Nivel 1,11,0
Nivel 1,11,0
Nivel 1,11,0
Nivel 1,11,0
Nivel 1,11,0
Nivel 1,11,0
Nivel 1,11,0
Nivel 1,11,0
Nivel 1,11,0
Nivel 1,11,0
Nivel 1,11,0
Nivel 1,12,0
Nivel 1,12,0
Nivel 1,12,0
Nivel 1,12,0
Nivel 1,12,0
Nivel 1,12,0
Nivel 1,12,0
Nivel 1,12,0
Nivel 1,12,0
Nivel 1,12,0
Nivel 1,12,0
Nivel 1,12,0
Nivel 1,12,0
Nivel 1,12,0
Nivel 1,12,0
Nivel 1,12,0
Nivel 1,12,0
Nivel 1,12,0
Nivel 1,12,0
Nivel 1,12,0
Nivel 1,12,0
Nivel 1,12,0
Nivel 1,12,0
Nivel 1,12,0
Nivel 1,12,0
Nivel 1,12,0
Nivel 1,12,0
Nivel 1,12,0
Nivel 1,12,0
Nivel 1,12,0
Nivel 1,12,0
Nivel 1,12,0
Nivel 1,12,0
Nivel 1,12,0
Nivel 1,12,0
Nivel 1,12,0
Nivel 1,12,0
Nivel 1,12,0
Nivel 1,12,0
Nivel 1,12,0
Nivel 1,12,0
Nivel 1,12,0
Nivel 1,12,0
Nivel 1,12,0
Nivel 1,12,0
Nivel 1,12,0
Nivel 1,12,0
Nivel 1,12,0
Nivel 1,12,0
Nivel 1,12,0
Nivel 1,12,0
Nivel 1,12,0
Nivel 1,12,0
Nivel 1,12,0
Nivel 1,12,0
Nivel 1,12,0
Nivel 1,12,0
Nivel 1,12,0
Nivel 1,12,0
Nivel 1,12,0
Nivel 1,13,0
Nivel 1,13,0
Nivel 1,13,0
Nivel 1,13,0
Nivel 1,13,0
Nivel 1,13,0
Nivel 1,13,0
Nivel 1,13,0
Nivel 1,13,0
Nivel 1,13,0
Nivel 1,13,0
Nivel 1,13,0
Nivel 1,13,0
Nivel 1,13,0
Nivel 1,13,0
Nivel 1,13,0
Nivel 1,13,0
Nivel 1,13,0
Nivel 1,13,0
Nivel 1,13,0
Nivel 1,13,0
Nivel 1,13,0
Nivel 1,13,0
Nivel 1,13,0
Nivel 1,13,0
Nivel 1,13,0
Nivel 1,13,0
Nivel 1,13,0
Nivel 1,13,0
Nivel 1,13,0
Nivel 1,13,0
Nivel 1,13,0
Nivel 1,13,0
Nivel 1,13,0
Nivel 1,13,0
Nivel 1,13,0
Nivel 1,13,0
Nivel 1,13,0
Nivel 1,13,0
Nivel 1,13,0
Nivel 1,13,0
Nivel 1,13,0
Nivel 1,13,0
Nivel 1,13,0
Nivel 1,13,0
Nivel 1,13,0
Nivel 1,13,0
Nivel 1,13,0
Nivel 1,13,0
Nivel 1,13,0
Nivel 1,13,0
Nivel 1,13,0
Nivel 1,13,0
Nivel 1,13,0
Nivel 1,13,0
Nivel 1,13,0
Nivel 1,13,0
Nivel 1,13,0
Nivel 1,13,0
Nivel 1,13,0
Nivel 1,14,0
Nivel 1,14,0
Nivel 1,14,0
Nivel 1,14,0
Nivel 1,14,0
Nivel 1,14,0
Nivel 1,14,0
Nivel 1,14,0
Nivel 1,14,0
Nivel 1,14,0
Nivel 1,14,0
Nivel 1,14,0
Nivel 1,14,0
Nivel 1,14,0
Nivel 1,14,0
Nivel 1,14,0
Nivel 1,14,0
Nivel 1,14,0
Nivel 1,14,0
Nivel 1,14,0
Nivel 1,14,0
Nivel 1,14,0
Nivel 1,14,0
Nivel 1,14,0
Nivel 1,14,0
Nivel 1,14,0
Nivel 1,14,0
Nivel 1,14,0
Nivel 1,14,0
Nivel 1,14,0
Nivel 1,14,0
Nivel 1,14,0
Nivel 1,14,0
Nivel 1,14,0
Nivel 1,14,0
Nivel 1,14,0
Nivel 1,14,0
Nivel 1,14,0
Nivel 1,14,0
Nivel 1,14,0
Nivel 1,14,0
Nivel 1,14,0
Nivel 1,14,0
Nivel 1,14,0
Nivel 1,14,0
Nivel 1,14,0
Nivel 1,14,0
Nivel 1,14,0
Nivel 1,14,0
Nivel 1,14,0
Nivel 1,14,0
Nivel 1,14,0
Nivel 1,14,0
Nivel 1,14,0
Nivel 1,14,0
Nivel 1,14,0
Nivel 1,14,0
Nivel 1,14,0
Nivel 1,14,0
Nivel 1,14,0
Nivel 1,15,0
Nivel 1,15,0
Nivel 1,15,0
Nivel 1,15,0
Nivel 1,15,0
Nivel 1,15,0
Nivel 1,15,0
Nivel 1,15,0
Nivel 1,15,0
Nivel 1,15,0
Nivel 1,15,0
Nivel 1,15,0
Nivel 1,15,0
Nivel 1,15,0
Nivel 1,15,0
Nivel 1,15,0
Nivel 1,15,0
Nivel 1,15,0
Nivel 1,15,0
Nivel 1,15,0
Nivel 1,15,0
Nivel 1,15,0
Nivel 1,15,0
Nivel 1,15,0
Nivel 1,15,0
Nivel 1,15,0
Nivel 1,15,0
Nivel 1,15,0
Nivel 1,15,0
Nivel 1,15,0
Nivel 1,15,0
Nivel 1,15,0
Nivel 1,15,0
Nivel 1,15,0
Nivel 1,15,0
Nivel 1,15,0
Nivel 1,15,0
Nivel 1,15,0
Nivel 1,15,0
Nivel 1,15,0
Nivel 1,15,0
Nivel 1,15,0
Nivel 1,15,0
Nivel 1,15,0
Nivel 1,15,0
Nivel 1,15,0
Nivel 1,15,0
Nivel 1,15,0
Nivel 1,15,0
Nivel 1,15,0
Nivel 1,15,0
